0,77,162,241,324,405,500,561,664,723,802,875,930,1003,1098,1163,1234,1299,1372,1443,1532,1623,1692,1747,1796,1859,1944,2019,2080,2173,2250,2349
0.0,86.0,67.0,59.0,78.0,68.0,83.0,72.0,77.0,91.0,73.0,79.0,71.0,81.0,73.0,79.0,78.0,75.0,85.0,58.0,69.0,66.0,81.0,75.0,85.0,78.0,74.0,82.0,79.0,68.0,71.0,84.0
86.0,0.0,78.0,82.0,73.0,77.0,63.0,60.0,70.0,61.0,80.0,68.0,85.0,69.0,73.0,63.0,65.0,81.0,50.0,89.0,73.0,80.0,67.0,74.0,69.0,79.0,78.0,70.0,79.0,77.0,80.0,70.0
67.0,78.0,0.0,69.0,68.0,75.0,72.0,69.0,64.0,74.0,76.0,75.0,68.0,84.0,72.0,76.0,68.0,61.0,76.0,68.0,80.0,75.0,69.0,80.0,72.0,79.0,73.0,76.0,79.0,81.0,65.0,68.0
59.0,82.0,69.0,0.0,80.0,71.0,85.0,72.0,83.0,87.0,70.0,72.0,73.0,84.0,74.0,82.0,80.0,76.0,85.0,64.0,65.0,84.0,89.0,89.0,87.0,80.0,69.0,85.0,72.0,69.0,64.0,86.0
78.0,73.0,68.0,80.0,0.0,72.0,84.0,78.0,89.0,43.0,57.0,84.0,41.0,71.0,96.0,85.0,89.0,61.0,59.0,75.0,71.0,80.0,87.0,94.0,94.0,91.0,46.0,92.0,64.0,68.0,75.0,91.0
68.0,77.0,75.0,71.0,72.0,0.0,72.0,67.0,78.0,76.0,80.0,82.0,66.0,72.0,74.0,82.0,72.0,76.0,72.0,69.0,72.0,77.0,78.0,83.0,81.0,77.0,74.0,80.0,73.0,77.0,68.0,74.0
83.0,63.0,72.0,85.0,84.0,72.0,0.0,77.0,35.0,84.0,102.0,39.0,84.0,80.0,43.0,70.0,37.0,89.0,69.0,84.0,80.0,65.0,34.0,37.0,31.0,72.0,84.0,36.0,86.0,87.0,97.0,33.0
72.0,60.0,69.0,72.0,78.0,67.0,77.0,0.0,78.0,80.0,72.0,87.0,84.0,78.0,79.0,72.0,81.0,81.0,73.0,70.0,62.0,78.0,81.0,88.0,87.0,85.0,77.0,87.0,70.0,78.0,70.0,81.0
77.0,70.0,64.0,83.0,89.0,78.0,35.0,78.0,0.0,90.0,99.0,38.0,83.0,77.0,44.0,63.0,35.0,87.0,78.0,81.0,84.0,61.0,27.0,37.0,36.0,67.0,87.0,38.0,91.0,92.0,92.0,36.0
